file_type,column_name,column_type,column_length,encoding,primary_key,sort_key,not_null
benefit_plans,infogroup_id,varchar,15,ZSTD,n,n,n
benefit_plans,id,Varchar,32,ZSTD,y,n,n
benefit_plans,created_at,varchar,50,ZSTD,n,n,n
benefit_plans,ack_id,Varchar,1000,ZSTD,n,n,n
benefit_plans,active_beginning_participants,int,NA,ZSTD,n,n,n
benefit_plans,active_ending_participants,int,NA,ZSTD,n,n,n
benefit_plans,benefit_arrangements,Varchar,1000,ZSTD,n,n,n
benefit_plans,labels_benefit_arrangements,Varchar,10000,ZSTD,n,n,n
benefit_plans,benefit_arrangements_count,int,NA,ZSTD,n,n,n
benefit_plans,broker_city,Varchar,1000,ZSTD,n,n,n
benefit_plans,broker_name,varchar,1000,ZSTD,n,n,n
benefit_plans,broker_postal_code,varchar,10,ZSTD,n,n,n
benefit_plans,broker_state,Varchar,2,ZSTD,n,n,n
benefit_plans,labels_broker_state,Varchar,40,ZSTD,n,n,n
benefit_plans,broker_street,Varchar,1000,ZSTD,n,n,n
benefit_plans,carrier,varchar,1000,ZSTD,n,n,n
benefit_plans,contract_number,varchar,1000,ZSTD,n,n,n
benefit_plans,effective_date,date,NA,ZSTD,n,n,n
benefit_plans,form_id,int,NA,AZ64,n,n,n
benefit_plans,funding_arrangements,Varchar,1000,ZSTD,n,n,n
benefit_plans,labels_funding_arrangements,Varchar,10000,ZSTD,n,n,n
benefit_plans,funding_arrangements_count,int,NA,ZSTD,n,n,n
benefit_plans,name,varchar,1000,ZSTD,n,n,n
benefit_plans,row_order,int,NA,ZSTD,n,n,n
benefit_plans,short_form,varchar,5,ZSTD,n,n,n
benefit_plans,term_lower,date,NA,ZSTD,n,n,n
benefit_plans,term_upper,date,NA,ZSTD,n,n,n
benefit_plans,total_beginning_participants,int,NA,ZSTD,n,n,n
benefit_plans,welfare_benefit_types,varchar,1000,ZSTD,n,n,n
benefit_plans,labels_welfare_benefit_types,varchar,10000,ZSTD,n,n,n
benefit_plans,welfare_benefit_types_count,int,NA,ZSTD,n,n,n
contacts,infogroup_id,varchar,15,ZSTD,n,n,n
contacts,id,Varchar,32,ZSTD,y,n,n
contacts,created_at,varchar,50,ZSTD,n,n,n
contacts,email,Varchar,80,ZSTD,n,n,n
contacts,email_md5,Varchar,32,ZSTD,n,n,n
contacts,email_sha256,Varchar,64,ZSTD,n,n,n
contacts,email_vendor_id,varchar,10,ZSTD,n,n,n
