file_type|column_name|column_type|column_length|encoding|sort_key|dist_key|null|system_column|identity_column|default_column
DELETE_TBMZB_INDIVIDUAL_A|mzb_indiv_id|numeric(10, 0)|NA|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|id|int identity|NA|ZSTD|n|n|n|y|y|n
TBMZB_INDIVIDUAL_A_tmp|listid|int|NA|ZSTD|n|n|n|y|n|y
TBMZB_INDIVIDUAL_A_tmp|mzb_indiv_id|numeric(10, 0)|NA|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|mzb_household_id|int|NA|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|prefix|varchar|20|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|suffix|varchar|15|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|title|varchar|30|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|first_name|varchar|35|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|middle_name|varchar|35|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|last_name|varchar|35|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|business_name|varchar|80|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|gender|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|marital_status|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|ethnicity|varchar|20|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|preferred_language|varchar|15|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|retirement_status|varchar|15|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|retirement_dt|datetime|NA|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|spouse_retired|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|spouse_retirement_dt|datetime|NA|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|deceased_ind|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|deceased_dt|datetime|NA|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|dob_yyyymmdd|datetime|NA|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|age_band|varchar|11|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|vulgar_name_ind|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|preferred_contact_method|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|addr1|varchar|40|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|addr2|varchar|40|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|city_name|varchar|60|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|county_cd|varchar|20|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|state_cd|varchar|15|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|zip_cd|varchar|10|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|zip4_cd|varchar|4|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|medicare_market_geo_status|varchar|50|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|medicare_footprint_ind|varchar|5|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|ivl_footprint_ind|varchar|3|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|ivl_footprint_geo_status|varchar|50|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|fips_cd|varchar|5|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|fips_state_cd|varchar|2|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|fips_county_cd|varchar|3|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|mailability_score|varchar|2|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|mail_valid_ind|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|nat_do_not_mail_ind|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|do_not_mail_ind|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|dma_do_not_contact_ind|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|county_name|varchar|50|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|sic_code|varchar|6|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|dp_latitude|numeric(10, 6)|NA|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|dp_longitude|numeric(10, 6)|NA|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|line_of_travel|varchar|5|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|mzb_indiv_addr_id|numeric(10, 0)|NA|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|carrier_route|varchar|4|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|delivery_point|varchar|12|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|vacant_ind|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|email_address|varchar|100|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|email_valid_ind|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|do_not_email_ind|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|do_not_email_start_dt|datetime|NA|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|nat_do_not_email_ind|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|mzb_indiv_email_id|numeric(10, 0)|NA|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|home_phone|varchar|60|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|home_phone_valid_ind|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|home_phone_dnc_ind|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|home_phone_updated_dt|datetime|NA|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|home_phone_dnc_time|varchar|10|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|mzb_home_phone_id|int|NA|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|cell_phone|varchar|60|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|cell_phone_valid_ind|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|cell_phone_dnc_ind|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|cell_phone_updated_dt|datetime|NA|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|cell_phone_dnc_time|varchar|10|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|mzb_cell_phone_id|int|NA|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|work_phone|varchar|60|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|work_phone_valid_ind|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|work_phone_dnc_ind|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|work_phone_updated_dt|datetime|NA|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|work_phone_dnc_time|varchar|10|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|mzb_work_phone_id|int|NA|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|indiv_type_ind|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|member_status|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|member_type|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|insured_ind|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|employee_ind|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|ok_to_mail_ind|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|ok_to_call_ind|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|ok_to_email_ind|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|ok_to_contact_ind|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|ok_to_mail_mbr|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|ok_to_call_mbr|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|ok_to_email_mbr|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|ok_to_contact_mbr|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|over_85_ind|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|application_ind|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|last_appl_recv_dt|datetime|NA|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|invalid_dob|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|name_quality_ind|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|group_med_prospect_ind|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|mzb_address_id|int|NA|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|member_id|varchar|50|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|member_effective_dt|datetime|NA|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|member_term_dt|datetime|NA|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|medical_plan_coverage_eff_dt|datetime|NA|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|medical_plan_coverage_exp_dt|datetime|NA|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|dental_plan_coverage_eff_dt|datetime|NA|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|dental_plan_coverage_exp_dt|datetime|NA|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|vision_plan_coverage_eff_dt|datetime|NA|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|vision_plan_coverage_exp_dt|datetime|NA|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|rx_plan_coverage_eff_dt|datetime|NA|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|rx_plan_coverage_exp_dt|datetime|NA|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|medicare_plan_coverage_eff_dt|datetime|NA|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|medicare_plan_coverage_exp_dt|datetime|NA|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|hcfa_contract|varchar|10|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|pbp|varchar|12|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|mapd_ind|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|pdp_ind|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|group_ind|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|hh_dsnp_ind|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|hh_lis_ind|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|hh_ltc_ind|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|hh_accp_ind|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|hh_insured_ind|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|secaddr_addr1|varchar|40|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|secaddr_addr2|varchar|40|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|secaddr_city_name|varchar|60|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|secaddr_state_cd|varchar|15|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|secaddr_zip_cd|varchar|10|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|sec_zip4_cd|varchar|4|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|secaddr_fips_cd|varchar|5|ZSTD|n|n|y|n|n|n
